CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Age Group,Customer Segment,Income-Spending Cluster
0001,Male,19,15,39,Under 25,Low activity,3
0002,Male,21,15,81,Under 25,Budget enthusiasts,5
0003,Female,20,16,6,Under 25,Low activity,3
0004,Female,23,16,77,Under 25,Budget enthusiasts,5
0005,Female,31,17,40,25-34,Balanced shoppers,3
0006,Female,22,17,76,Under 25,Budget enthusiasts,5
0007,Female,35,18,6,35-44,Low activity,3
0008,Female,23,18,94,Under 25,Budget enthusiasts,5
0009,Male,64,19,3,55+,Low activity,3
0010,Female,30,19,72,25-34,Budget enthusiasts,5
0011,Male,67,19,14,55+,Low activity,3
0012,Female,35,19,99,35-44,Budget enthusiasts,5
0013,Female,58,20,15,55+,Low activity,3
0014,Female,24,20,77,Under 25,Budget enthusiasts,5
0015,Male,37,20,13,35-44,Low activity,3
0016,Male,22,20,79,Under 25,Budget enthusiasts,5
0017,Female,35,21,35,35-44,Low activity,3
0018,Male,20,21,66,Under 25,Budget enthusiasts,5
0019,Male,52,23,29,45-54,Low activity,3
0020,Female,35,23,98,35-44,Budget enthusiasts,5
0021,Male,35,24,35,35-44,Low activity,3
0022,Male,25,24,73,25-34,Budget enthusiasts,5
0023,Female,46,25,5,45-54,Low activity,3
0024,Male,31,25,73,25-34,Budget enthusiasts,5
0025,Female,54,28,14,45-54,Low activity,3
0026,Male,29,28,82,25-34,Budget enthusiasts,5
0027,Female,45,28,32,45-54,Low activity,3
0028,Male,35,28,61,35-44,Budget enthusiasts,5
0029,Female,40,29,31,35-44,Low activity,3
0030,Female,23,29,87,Under 25,Budget enthusiasts,5
0031,Male,60,30,4,55+,Low activity,3
0032,Female,21,30,73,Under 25,Budget enthusiasts,5
0033,Male,53,33,4,45-54,Low activity,3
0034,Male,18,33,92,Under 25,Budget enthusiasts,5
0035,Female,49,33,14,45-54,Low activity,3
0036,Female,21,33,81,Under 25,Budget enthusiasts,5
0037,Female,42,34,17,35-44,Low activity,3
0038,Female,30,34,73,25-34,Budget enthusiasts,5
0039,Female,36,37,26,35-44,Low activity,3
0040,Female,20,37,75,Under 25,Budget enthusiasts,5
0041,Female,65,38,35,55+,Low activity,3
0042,Male,24,38,92,Under 25,Budget enthusiasts,5
0043,Male,48,39,36,45-54,Low activity,3
0044,Female,31,39,61,25-34,Budget enthusiasts,5
0045,Female,49,39,28,45-54,Low activity,3
0046,Female,24,39,65,Under 25,Budget enthusiasts,5
0047,Female,50,40,55,45-54,Balanced shoppers,5
0048,Female,27,40,47,25-34,Balanced shoppers,5
0049,Female,29,40,42,25-34,Balanced shoppers,5
0050,Female,31,40,42,25-34,Balanced shoppers,5
0051,Female,49,42,52,45-54,Balanced shoppers,5
0052,Male,33,42,60,25-34,Active shoppers,5
0053,Female,31,43,54,25-34,Balanced shoppers,5
0054,Male,59,43,60,55+,Active shoppers,5
0055,Female,50,43,45,45-54,Balanced shoppers,5
0056,Male,47,43,41,45-54,Balanced shoppers,5
0057,Female,51,44,50,45-54,Balanced shoppers,5
0058,Male,69,44,46,55+,Balanced shoppers,5
0059,Female,27,46,51,25-34,Balanced shoppers,5
0060,Male,53,46,46,45-54,Balanced shoppers,5
0061,Male,70,46,56,55+,Balanced shoppers,5
0062,Male,19,46,55,Under 25,Balanced shoppers,5
0063,Female,67,47,52,55+,Balanced shoppers,5
0064,Female,54,47,59,45-54,Balanced shoppers,5
0065,Male,63,48,51,55+,Balanced shoppers,5
0066,Male,18,48,59,Under 25,Balanced shoppers,5
0067,Female,43,48,50,35-44,Balanced shoppers,5
0068,Female,68,48,48,55+,Balanced shoppers,5
0069,Male,19,48,59,Under 25,Balanced shoppers,5
0070,Female,32,48,47,25-34,Balanced shoppers,5
0071,Male,70,49,55,55+,Balanced shoppers,5
0072,Female,47,49,42,45-54,Balanced shoppers,5
0073,Female,60,50,49,55+,Balanced shoppers,5
0074,Female,60,50,56,55+,Balanced shoppers,5
0075,Male,59,54,47,55+,Balanced shoppers,5
0076,Male,26,54,54,25-34,Balanced shoppers,5
0077,Female,45,54,53,45-54,Balanced shoppers,5
0078,Male,40,54,48,35-44,Balanced shoppers,5
0079,Female,23,54,52,Under 25,Balanced shoppers,5
0080,Female,49,54,42,45-54,Balanced shoppers,5
0081,Male,57,54,51,55+,Balanced shoppers,5
0082,Male,38,54,55,35-44,Balanced shoppers,5
0083,Male,67,54,41,55+,Balanced shoppers,5
0084,Female,46,54,44,45-54,Balanced shoppers,5
0085,Female,21,54,57,Under 25,Balanced shoppers,5
0086,Male,48,54,46,45-54,Balanced shoppers,5
0087,Female,55,57,58,55+,Balanced shoppers,5
0088,Female,22,57,55,Under 25,Balanced shoppers,5
0089,Female,34,58,60,25-34,Active shoppers,5
0090,Female,50,58,46,45-54,Balanced shoppers,5
0091,Female,68,59,55,55+,Balanced shoppers,5
0092,Male,18,59,41,Under 25,Balanced shoppers,5
0093,Male,48,60,49,45-54,Balanced shoppers,5
0094,Female,40,60,40,35-44,Balanced shoppers,5
0095,Female,32,60,42,25-34,Balanced shoppers,5
0096,Male,24,60,52,Under 25,Balanced shoppers,5
0097,Female,47,60,47,45-54,Balanced shoppers,5
0098,Female,27,60,50,25-34,Balanced shoppers,5
0099,Male,48,61,42,45-54,Balanced shoppers,5
0100,Male,20,61,49,Under 25,Balanced shoppers,5
0101,Female,23,62,41,Under 25,Balanced shoppers,5
0102,Female,49,62,48,45-54,Balanced shoppers,5
0103,Male,67,62,59,55+,Balanced shoppers,5
0104,Male,26,62,55,25-34,Balanced shoppers,5
0105,Male,49,62,56,45-54,Balanced shoppers,5
0106,Female,21,62,42,Under 25,Balanced shoppers,5
0107,Female,66,63,50,55+,Balanced shoppers,5
0108,Male,54,63,46,45-54,Balanced shoppers,5
0109,Male,68,63,43,55+,Balanced shoppers,5
0110,Male,66,63,48,55+,Balanced shoppers,5
0111,Male,65,63,52,55+,Balanced shoppers,5
0112,Female,19,63,54,Under 25,Balanced shoppers,5
0113,Female,38,64,42,35-44,Balanced shoppers,5
0114,Male,19,64,46,Under 25,Balanced shoppers,5
0115,Female,18,65,48,Under 25,Balanced shoppers,5
